PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag
1,549,35,15,11,29,29,0,0,0,-99999,-99999,0,0,21,5,11,0,0,0,0,0,0,0,0,0,29,6,0,0,0,6,0,0,566,0,0,0,Married,12TH,48,M,51000,114,0.2,0,0.798,-99999,0,0.798,1,0,0,0,0,13.333,1,0,PL,PL,696,P2
2,47,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,209,1,0,0,Single,GRADUATE,23,F,19000,50,1,0,0.37,-99999,0,-99999,0,0,0,0,0,0.86,0,0,ConsumerLoan,ConsumerLoan,685,P2
3,302,11,3,9,25,25,1,9,8,25,25,0,0,10,5,10,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,587,0,0,0,Married,SSC,40,M,18,191,1,0.5,0.585,-99999,0,-99999,0,0,0,0,0,5741.667,1,0,ConsumerLoan,others,693,P2
4,-99999,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,SSC,34,M,10000,246,1,1,0.99,-99999,0,-99999,0,0,0,0,0,9.9,0,0,others,others,673,P2
5,583,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,53,4,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3951,0,0,0,Married,POST-GRADUATE,48,M,15000,75,0.333,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,AL,AL,753,P1
6,245,27,18,14,300,270,0,0,0,0,0,13,11,5,0,2,3,0,1,0,0,0,0,0,0,26,15,2,0,1,7,3,3,7,6,5,4,Married,12TH,35,M,0,154,0.167,0,0,-99999,0,-99999,0,1,0,0.429,0,-99999,1,0,ConsumerLoan,PL,668,P3
7,49,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,25,11,20,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,SSC,35,M,30000,81,0.667,0.5,0.998,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,703,P1
8,74,23,12,3,164,133,0,0,0,0,0,2,2,27,0,4,0,0,0,0,0,0,0,0,0,133,2,0,0,0,0,0,0,2,1,1,1,Married,UNDER GRADUATE,30,M,27000,126,0.333,0,0.3,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,676,P2
9,424,7,4,3,99,38,2,3,1,38,99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0,108,1,1,0,Married,SSC,39,F,18000,122,1,0,0.465,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,658,P4
10,39,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,39,4,10,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,28,M,18000,68,0.5,0,1.121,-99999,0,-99999,0,0,0,0,0,3.333,0,0,others,others,705,P1
11,35,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,1,4,0,0,87,1,1,1,Single,GRADUATE,27,M,20000,95,0.714,0.333,0.846,0.673,1,0.943,1,0,1,0,0.333,13.064,0,0,CC,others,685,P2
